product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
fD6i1jcrtlvz,toys,290,15,13,13
nkYfZiKQv5nd,toys,6250,15,15,20
0ReQfftPLgFP,toys,300,15,16,18
1QYdT3k0TFB7,toys,85,15,10,15
ZDPEotdl5Qnu,computers_accessories,306,15,21,13
3lee8DwI3IRA,toys,770,15,10,11
dbX634X9hpeM,toys,475,15,12,16
AqUKHxxVXTMt,computers_accessories,1240,15,5,9
YYu4QXssXP97,toys,1513,15,12,12
mbP8ZvcGVk9S,toys,767,15,5,10
JOK8tdDThqWz,toys,692,15,12,14
KMnZczDvixZX,toys,570,15,10,14
YMMCks69JTUB,toys,250,15,17,21
UWISwbq9NkBj,toys,1800,15,15,15
XQtvIRwFsR1R,toys,2500,15,29,30
qUS5d2pEAyxJ,costruction_tools_garden,2200,16,16,16
TpFZIk33uyGn,toys,2800,16,31,39
vndXhZ66Bwpl,toys,500,16,12,22
DXG0TFaZjGHO,toys,200,16,7,11
YgnBaIterOVh,toys,2650,16,16,62
lSVmLWTOmgtw,toys,400,16,16,22
7IfEqKdKlG9j,toys,200,16,10,16
UjLE7WsWfgrO,construction_tools_construction,450,16,14,11
G16XPtJuiBOe,toys,150,16,4,13
KocIrz6J906g,toys,200,16,6,20
LEtlZnZPgiXx,toys,50,16,5,11
qjquOwfUstem,toys,200,16,2,11
gdZxFB7RkmeM,toys,400,16,24,16
BuMA9g0RCLlr,toys,450,16,7,11
PNxV7rsy2fgg,toys,150,16,5,20
bdZMcl4443hh,toys,200,16,13,14
63xWgMAWpCUv,audio,250,16,5,11
ZXaWnDtFtm16,toys,1400,16,7,12
GrFFq2mwLHY2,toys,200,16,8,11
HsY2B64ToEjd,toys,50,16,16,12
JyBhiUYADnbo,toys,250,16,7,11
PdQSW0L6zcA8,toys,150,16,12,15
t3Yt7rB0Siv5,construction_tools_construction,450,16,10,11
UGsLZX3s5mEt,construction_tools_construction,1700,16,11,11
HheG19aBYVwJ,watches_gifts,200,16,2,11
ocSuycYd5FzD,sports_leisure,250,16,6,20
1Shu25hw8jmU,sports_leisure,150,16,16,11
qtlBf0tnYibE,toys,240,16,2,11
gkFvRSioMfLT,toys,237,16,16,16
6gc28NXmxjiC,toys,363,16,4,11
nPKBktJfW1Fl,toys,150,16,2,11
pIsDRb4xbzyD,watches_gifts,350,16,14,11
JWWerUz4sUOi,toys,450,16,21,20
GntEBdL0e4AR,bed_bath_table,250,16,15,15
KbN9lsh9uJef,garden_tools,150,16,2,11
uXqtt8FPcOSE,auto,500,16,5,11
TKNiFZxm7gs7,toys,350,16,2,20
B8QmdTHBBm2r,toys,600,16,14,14
CsjdvHqLmAxc,toys,950,16,30,27
mVm1INynZf3d,toys,350,16,25,11
H9bNMpRahUKq,toys,1850,16,10,16
KIYt8ODpiQyI,toys,550,16,7,11
DwqOXp6wWYBc,toys,300,16,8,11
Cjq4di8arIUK,toys,200,16,16,16
vMNkrbsMMk0s,toys,300,16,9,11
Ycoiqp2LnndQ,toys,250,16,11,11
THGXRZufUKBc,toys,700,16,17,16
TAlgqaCYmIfH,home_construction,1050,16,20,16
6cDVtksZH7KU,,200,16,2,11
ipYJ5d8d5OHW,toys,300,16,10,16
XVIu4wrydalt,toys,1500,16,8,16
Kxzm6htBni1h,electronics,600,16,11,11
5ppYQQO7KZYt,toys,125,16,12,14
ad8n5dIJySPi,toys,650,16,10,16
cknJxv19AtA0,toys,300,16,8,11
uYZs9sSZLjJQ,toys,200,16,2,11
cBzyfbJ9o2Ly,housewares,800,16,11,18
qilDjbibfweR,toys,300,16,2,20
V2XI2qJlQyVA,industry_commerce_and_business,7225,16,103,25
vZUdZ9QVR7iX,bed_bath_table,550,16,10,16
IAwyJkryRk4R,toys,450,16,10,16
eusdPgZ9vfNN,toys,150,16,5,20
CpPR0u9UXipe,computers_accessories,300,16,8,12
YXLgnSbcUlKN,toys,200,16,2,20
HVb0WK2Cg43g,toys,4450,16,29,23
UDxk0BKLGdWP,toys,150,16,6,11
n0I7r2n61EVM,housewares,600,16,25,11
GqH7DZZi37vM,toys,250,16,16,16
1Ds2HvWxpkv9,toys,50,16,16,17
XQnvUd50SsJQ,watches_gifts,50,16,8,16
d4lgTZMuo2nN,toys,450,16,15,11
AtmJCgT56oDj,toys,250,16,16,12
9Ra9OvTGUkvh,toys,400,16,4,11
dAjuzl4lEzYf,housewares,550,16,12,15
uAoOMo22UMav,toys,300,16,5,11
0XyYmaoLSH4j,computers_accessories,180,16,9,16
sW6tMAHux6f6,watches_gifts,250,16,2,20
0Kwvf0nc6vy2,baby,100,16,8,11
cip2jHhMY4pc,sports_leisure,3450,16,15,20
opWoTU2BWbGr,toys,7800,16,105,30
MQ2y03vEkluo,bed_bath_table,250,16,22,11
1JgqZUMnHeh7,toys,600,16,2,11
KoRGSXOt2wEV,toys,2300,16,32,11
gQmWktJ30VDv,toys,250,16,2,20
sAZlZF7GJJdr,bed_bath_table,350,16,10,16
7Y9s1nKZwgT8,toys,188,16,11,12
kFwCHCD7QAUG,fashion_bags_accessories,100,16,16,16
ciyz5BBBbTP3,toys,100,16,4,16
rLkyneOy1Tq7,toys,1100,16,10,16
K21GjvOC8E0K,toys,800,16,20,28
HqcgHaEnbeXs,auto,2800,16,2,11
tJSjR1AbQ1F4,toys,400,16,16,16
aGfDroEvoLRJ,toys,200,16,14,12
tHPavTpCiXx0,health_beauty,200,16,4,16
huOtiYFnpes9,toys,525,16,16,18
i6zLzwZZgX1F,toys,200,16,4,13
FdBtdonyg5Cn,housewares,550,16,12,12
bfkYf8WcDtMl,toys,250,16,5,15
F2ZFaPrChBnM,toys,250,16,16,16
baO5UlHQAGVC,toys,650,16,10,16
5O25qEzJZSMe,toys,375,16,13,15
OREzyxIkjqea,toys,5450,16,65,25
4E5vJsjJSojs,toys,100,16,4,11
yjbebnmOeMDy,toys,4100,16,10,16
SPIT3wETFRjm,toys,150,16,2,11
yRAkBYToAWpL,bed_bath_table,500,16,10,16
GkY4iC34yfZR,toys,200,16,16,16
oLVBoWOotxcJ,toys,200,16,11,11
AremCr2pjUBp,toys,600,16,2,11
8LQ1KNC1uffD,toys,200,16,5,20
xArM6NlDrEZS,toys,500,16,16,11
ymKDicNbeRGT,toys,525,16,17,12
3LpxCHqsJe5S,auto,200,16,5,20
SLANLZkCbYI1,toys,150,16,12,12
YZLstX8mQBEQ,toys,300,16,17,11
nHVfUq8Xfzwq,toys,400,16,2,11
1edaUIVffPFF,watches_gifts,584,16,11,13
ngBjN7lkpLic,toys,250,16,2,11
pEOKGWW2dBY3,toys,300,16,30,20
ZWyg4uNWPHjJ,toys,250,16,2,11
hltNoJPbTHBZ,toys,550,16,10,16
ipPRqbM59Nsv,toys,575,16,22,16
dfg0jojjzwY6,toys,200,16,88,16
B7CVgrM35B2B,auto,850,16,28,16
6gAgSBS9Ghbl,toys,500,16,20,16
Z4AzLJ6bjng2,toys,875,16,46,38
on5EC0NJ0gdV,watches_gifts,500,16,13,13
k70YhkRSxJzl,toys,200,16,9,16
v5nCR4cuovu9,toys,600,16,10,16
ICg52p0fIcjz,sports_leisure,250,16,15,16
m8HhYxS2C3aN,toys,550,16,21,18
wAqpjobOTLMo,construction_tools_construction,1200,16,11,11
rzLneTyAjkOh,auto,800,16,16,11
ZXIEsYQd2pCQ,toys,200,16,2,11
4aY0NgJi0cCm,toys,650,16,16,16
ux3Ksf82C6dI,toys,550,16,25,16
jrvLtMrD3Khn,toys,4300,16,79,48
0EFQn9gY6gaY,toys,1000,16,16,12
htvhVzDA4jAu,toys,100,16,11,11
A07swqGsjXLx,toys,200,16,2,20
q8vfvTf5F2XO,toys,500,16,2,11
OR8L9LaOqJlk,toys,200,16,7,16
185Rjb6Jfv2E,toys,150,16,16,16
ixKNEjGAj4eD,toys,350,16,5,15
x8VfMVUGc4Ci,toys,167,16,11,15
nfcshHx8ZZOj,toys,750,16,10,50
nxhprP2JJoRH,toys,300,16,10,11
v9Zh5L7sKLML,toys,250,16,12,14
wOXCQyEa84Wo,toys,200,16,16,13
pIFjAEt17Asx,toys,400,16,10,11
rtiHziGBmYUe,toys,1950,16,105,14
FZKmRAY3nmo9,toys,117,16,14,16
mHI4NBBHLa3q,toys,150,16,9,11
Qit0dDYKryVz,toys,100,16,3,11
oQxELBYhAfJX,toys,150,16,9,11
4MeoaWAZz6Qn,toys,1100,16,10,16
mCDJ1miTla4u,toys,350,16,12,14
vpc5c9cPZtpQ,toys,250,16,6,13
qVaU9yebwKrf,toys,550,16,21,18
FYwSFXcDOKLA,toys,750,16,12,15
QrXLFhR7o9fN,toys,250,16,10,16
6lsIKONjvlrc,toys,575,16,18,12
fEDo8oxXJdK3,toys,250,16,15,15
Wp5G8GSd79f8,kitchen_dining_laundry_garden_furniture,6400,16,2,11
LGDcPH3SN7Kg,toys,250,16,2,11
9bUnETeKHX8k,toys,150,16,8,16
pFhrTs4IZ0fp,toys,100,16,11,12
o8IbHMCxBZfI,toys,250,16,2,11
BLPv8inNEiHl,toys,200,16,16,11
baoJZbnDryXg,toys,700,16,20,16
unM5xdmWSZPW,toys,150,16,6,11
RmJmVEb5GKQB,toys,250,16,16,11
PSS14qFZXi59,toys,300,16,4,20
8yLBWlAmHZdV,furniture_decor,300,16,5,20
czDABK3kYtl4,toys,750,16,20,16
pTrK5MYzL4Ca,computers_accessories,233,16,14,15
FNyUFrqDcOmW,toys,1300,16,19,16
O8VAP4NditKw,stationery,150,16,5,15
YDeyocVSEwzB,sports_leisure,600,16,7,12
9sqvBDWe11K4,toys,300,16,10,11
GdXDVpuRM0Av,toys,400,16,19,15
lTvhzQRh1kwJ,toys,250,16,2,11
JcISlsAdouWg,fashion_bags_accessories,200,16,2,11
YaHobdV88UrW,toys,100,16,3,11
qrdSLOTVJOWN,computers_accessories,150,16,15,13
4aUGnQn7q4BL,toys,150,16,11,11
1tkBKbK0lbe2,toys,200,16,12,12
yrCUk8AXHy6S,furniture_decor,100,16,3,23
fxUTfPnhbMWf,toys,1050,16,10,16
y5FI0l0HjdGT,computers_accessories,217,16,14,14
tjtonwjfvhx9,toys,1000,16,6,12
yHfh6JINwPTN,toys,200,16,2,20
5J7az1rwth4i,toys,250,16,2,20
d8F4AQEnCnwz,toys,200,16,6,11
8bMkmVbyYHkI,health_beauty,4350,16,16,16
8opgOxWwKmAi,toys,250,16,4,11
yhM1TNmnd3og,watches_gifts,400,16,2,20
EVYOKQqIJQyn,cool_stuff,350,16,11,11
GzZp44Pb9imi,toys,200,16,9,11
G67Sow5dm6Mn,toys,50,16,2,11
BQ7HqMwH5ToQ,toys,225,16,7,11
vIDG7lMnZYAh,toys,300,16,16,16
6ZFX3m9L5EOQ,toys,500,16,7,20
d2HOSdzAEMqU,toys,80,16,11,11
v8wYHyjJmg7e,audio,167,16,4,11
VPceosstem3u,toys,200,16,14,15
SurWs3YXFxus,toys,50,16,14,14
Cw7JqyhrpaQG,toys,400,16,7,11
NdSuLdRIr6Ww,toys,200,16,16,14
VMjQ8IhUpKXJ,toys,500,16,9,15
2cBEPQv0bAqn,toys,400,16,4,11
Ia0Im2XO492V,toys,200,16,5,11
7eK4cdseDa0k,toys,250,16,7,11
D5eFQj3FcMjj,fashion_bags_accessories,200,16,16,16
5LRdY9AiWfVJ,toys,1000,16,8,14
eegN2sKIcfnd,toys,200,16,11,11
kTigHqVNgNGf,toys,150,16,16,16
nFZKtmOCvng2,toys,300,16,5,15
6IfIwdpCtRuO,sports_leisure,475,16,8,11
W3IIy0dnIfkU,,200,16,2,11
53oIZTq7pEol,costruction_tools_tools,200,16,16,16
v5lnjBHAi1IE,sports_leisure,800,16,2,11
JGMr0GHn80XX,toys,200,16,2,11
MbSiQCjLhdNO,toys,14200,16,10,16
9cSasYPu9IwW,toys,200,16,2,11
KvidPAEAVI5p,toys,100,16,12,12
AmW6b8ab0bHl,toys,200,16,12,16
PFfWzEvwqA4Q,watches_gifts,200,16,2,20
r9TGpjRfHyAc,pet_shop,440,16,35,12
Jcxa0HVW15MJ,toys,550,16,5,12
1h5LvzRLO6Ft,toys,200,16,2,11
jQMGuputzM7W,toys,2100,16,27,11
WYJWaekI75VD,toys,200,16,2,11
0cm7Cd4IojMT,toys,2400,16,40,15
dqb5wK6JYDNw,consoles_games,250,16,7,15
O4EAcHbhFFE7,toys,300,16,11,11
8mH9VrhCkxAn,toys,250,16,2,20
ljpKItKb6Fjn,toys,100,16,8,11
wuMS6OZZvULo,toys,300,16,10,19
T956JV24XVD7,bed_bath_table,1250,16,10,16
r5sWXZC11Bhd,toys,517,16,12,15
doZ2Qy19dpSy,toys,300,16,22,11
bXSxvy6jL1DU,fashion_bags_accessories,100,16,13,11
yYSVe3S8I5fp,toys,150,16,2,20
G53QBIOhu1EG,toys,300,16,12,15
gpYLLEaybRRe,perfumery,50,16,5,11
vmXYulZ8nEAZ,toys,600,16,27,12
LiuvnZbZDHcg,toys,100,16,5,16
UfqeUb41DO9Z,toys,200,16,8,11
rElnOdSwdP63,fashion_bags_accessories,100,16,9,11
5BD14x86K9AJ,toys,200,16,12,16
ZQ6u5UkMoWWS,toys,22100,16,2,11
2ytl9shHrLIo,toys,300,16,30,20
McyEvPpPI7Dy,toys,350,16,2,20
kbaoSmgfO9zQ,toys,250,16,2,11
7UgeHfJ6Q38k,toys,350,16,2,20
Yl2dsA1xyfLS,watches_gifts,100,16,2,20
Bzm1srRG8p9f,toys,150,16,16,16
168ohCOO2sow,toys,750,16,12,15
ZjwdAsCJqozH,toys,200,16,2,11
hjxGMt0avxts,toys,300,16,10,12
PX0tdwEHT1P4,toys,300,16,11,20
SQSXRpgyiF9k,toys,600,16,4,13
OqHOcvUtnJRv,luggage_accessories,284,16,14,15
xK2nSTNQk0RL,toys,200,16,10,11
xpQZk29JWWDr,toys,250,16,4,20
WEDPNfPsrheI,toys,150,16,16,11
nml3iKGgq8eD,cool_stuff,700,16,2,11
gfuzNOVbGupW,toys,1100,16,6,11
DAiLlNnCYTlc,sports_leisure,250,16,17,22
kmzH2nGcDT9t,sports_leisure,200,16,7,12
4OxY8JM4opaS,toys,650,16,13,16
hpHCXLhysZkh,toys,100,16,3,15
jrOrZ1o4LV94,toys,138,16,13,14
77CHRsfsfuvy,toys,100,16,9,11
SvjmYI42lU1V,toys,200,16,4,11
EtFky8TOEnnR,toys,100,16,8,11
7RYieb3htbjj,toys,300,16,16,16
Qwv1YrdozkaC,toys,767,16,16,17
NvqfjcMEMPUj,toys,150,16,16,16
2fU9tOpIRxTW,sports_leisure,600,16,6,15
il359SUldrBK,toys,350,16,11,11
eYH58Ff4TLCc,toys,150,16,10,11
BQxV9TWwhyqU,toys,100,16,6,11
KLjAlQzuD1Xd,toys,350,16,5,20
WH6jI4Oqb0bf,toys,225,16,3,13
IJJL2iT7InlD,toys,450,16,4,20
IxwFeVLApOc8,toys,300,16,4,11
NDjTgwCB0TgB,toys,300,16,14,11
qI3S6kD7g8EM,toys,800,16,10,16
LdpDRkKgpBaK,toys,550,16,16,16
IEZOfklmfEJd,perfumery,300,16,10,11
TyjZXrYDl5GQ,pet_shop,1000,16,35,20
fiP6szcUVa69,telephony,250,16,6,11
KiLOR5XLpabf,toys,325,16,9,13
6ic4QISE2iTC,toys,200,16,16,16
9WD8qDW1LAef,toys,450,16,16,11
TLGhKgiIf5Yf,toys,150,16,14,11
6dW8OEGvkfD9,toys,200,16,15,16
vyutM7FwcaA8,toys,250,16,12,11
LpzTLXCjbnrI,toys,100,16,8,19
jN5sNhIZ1hu3,home_construction,125,16,11,14
qqnbOz1wLlNm,toys,150,16,7,15
Ph7gx9xXX1Y1,toys,100,16,3,11
35LeN5k9U6ir,construction_tools_construction,200,16,5,11
c0q5BVvDDPHx,toys,2600,16,31,39
ZWJUWVtLDaV3,toys,213,16,7,12
9WWfs7QK6opj,toys,200,16,20,16
9RZr4QAOwo2l,toys,500,16,10,16
rwYWoKVuWJI7,construction_tools_safety,350,16,16,16
xkmxY4AXCqpu,toys,400,16,15,15
Ap7Rn9tfZxOw,toys,3100,16,34,34
VHNgfFlyhIby,toys,250,16,16,11
2iBDXPkTU67p,cool_stuff,500,16,7,13
NYmB2zWohhHJ,toys,250,16,2,20
haln9wsfk4gB,toys,250,16,9,12
Wi0gtWXV3WgV,toys,250,16,16,11
cskdUwZHeQnG,toys,350,16,16,16
DXeIJE6ARr3Q,toys,2750,16,31,39
dqvpMZP6EMTS,toys,150,16,10,27
fLfIsqP7eYAk,toys,700,16,16,16
JxxIHewsZeLH,toys,100,16,6,11
QxRpEUxzTMsR,toys,150,16,9,11
cam9nAxaKsns,toys,450,16,17,13
mYQBP8aRIH7R,cine_photo,150,16,8,11
XsnNmbJCaUTG,furniture_decor,300,16,30,20
yPAopC1NUxRy,toys,9800,16,95,50
qHVyjPspLLma,telephony,150,16,4,13
bwQXtE8Q07eB,toys,200,16,10,11
DlPOdpJHrsaZ,toys,600,16,14,13
gndTtKqFFvHs,toys,100,16,6,11
1TwMHhyR4FIj,toys,950,16,2,20
9lkQPtmtmXaC,toys,575,16,14,14
ea6JOIDtnd3E,pet_shop,165,16,10,11
HsHsnHHWeyPW,toys,850,16,13,15
LjBYTcI2NfOk,toys,100,16,6,13
QO5ma81V8Pcb,toys,100,16,16,11
WUMko006dVaO,electronics,200,16,6,14
6tQuzduhX3K3,toys,350,16,40,30
NsfeYmlD6FXr,health_beauty,150,16,5,17
Qe7vXxMAx1ZT,toys,150,16,5,15
R5rAiyfAYcub,toys,308,16,11,12
fqMtHMKcNp3m,toys,500,16,2,11
z5y9ACIijLbn,computers_accessories,1400,16,17,23
hXrvSNXYjQk2,telephony,300,16,5,12
ldc3qVbFSlbM,toys,125,16,7,12
uTrWSMUch0Bn,toys,100,16,6,20
rA0r94YD97un,toys,250,16,2,20
vo4ddMJa1EP4,toys,200,16,7,15
pDdhxAxgZ2xj,toys,100,16,5,16
VpOoAf8ZAjZi,fashion_bags_accessories,150,16,9,11
6y9DWzXtrKAS,toys,200,16,8,14
9ESslgxXhqCZ,toys,100,16,3,11
6SEg95OHOLcx,toys,750,16,10,11
YOVad6JLkfCF,toys,600,16,8,23
29SK7AZTBsas,toys,50,16,7,11
LvEPxnld5lRJ,toys,225,16,19,20
IdmcRJJHkK5p,watches_gifts,500,16,11,20
PuSuteyT9QTn,toys,100,16,6,11
XUQQhpc3766B,toys,100,16,8,12
Yf8hnhFnBU6M,toys,170,16,10,12
dlWTdLkNw9YT,toys,6000,16,16,16
G2v1lVy1sOoT,toys,100,16,3,11
iiS6xJuZl2y1,toys,600,16,10,16
drlI39peM3ze,toys,275,16,5,20
utVPLgd1LM3F,toys,200,16,2,11
a1PSDEqktUO5,toys,300,16,10,16
BAzoN9DS6jBN,toys,3200,16,2,11
Uc8EPcHHzE2L,toys,800,16,16,15
ZptXAitLkJ5f,toys,300,16,11,12
VYYK0JkNwfhJ,toys,358,16,6,17
gbefESGzyt4i,toys,100,16,6,12
zgeloe0hFyo4,toys,150,16,5,20
dDtfPXeLtekN,toys,200,16,3,15
khTdnZ6ygU7q,fashion_bags_accessories,200,16,3,15
oPQvRENJpRBc,toys,650,16,45,35
LPtuFpb1Kr8D,toys,100,16,9,11
tfK6N5cTAvez,toys,250,16,2,20
aaVj4buTsxig,toys,1300,16,16,40
DbGnL2x1lHkq,toys,200,16,5,11
89oT9Pz9eQaA,toys,150,16,13,14
QmCdA9gRTybZ,toys,250,16,2,20
guZzyMbU4uiw,signaling_and_security,450,16,11,16
Y9RZLlJmz7ht,toys,125,16,12,12
vn9BtW6eoEND,toys,100,16,9,11
D984F4DTEtgY,costruction_tools_tools,400,16,2,11
JQJVcplt5TNG,toys,213,16,12,11
Y70KmBG2h4tO,toys,197,16,11,12
MREvkZTQx7Cd,toys,1200,16,30,16
Xgu23PK0laDN,toys,550,16,21,18
IinKix78ffNP,computers_accessories,150,16,2,11
SWSRWeTjq3UF,toys,600,16,13,13
4Z9O0M07nwwB,toys,750,16,21,16
jGMqWcbvXZOP,toys,4400,16,25,23
oQ9yLm9Thavz,toys,255,16,12,14
RmITi75QP8CT,toys,1200,16,49,32
NJPcgKpUlqtB,toys,100,16,11,14
iDhrYRxfJcpQ,toys,450,16,16,16
CB4MW6Xn12w2,toys,700,16,17,11
FMdJwMvO7mHg,toys,300,16,7,21
w1YR8seJ1EkG,toys,250,16,9,12
Jhcat9WVor5r,toys,1050,16,27,16
pwYcgnwRd3Ie,toys,255,16,12,13
qmsjOs2mmsXA,toys,400,16,12,15
2tHKntjm5NQn,toys,11200,16,50,80
PeAgPPv8Vyis,toys,150,16,5,11
BbSitaWu1xS7,music,550,16,16,16
W9rwfXlse2Em,toys,150,16,20,11
1WpAJOFFhR8N,toys,150,16,5,20
7BEUiOxC03oh,toys,500,16,18,16
oQTuTJAnstB2,toys,850,16,32,16
Wp6xEtOgoHsj,bed_bath_table,1100,16,10,16
AgZRQcLsmeMi,toys,350,16,13,11
nmfJjwMjVpEL,toys,200,16,2,11
N59faJ5H7aNt,toys,224,16,13,15
hJrVwNSr0GTQ,toys,150,16,9,11
83l7rNdGmva7,toys,550,16,5,12
b0C78k7q34L1,toys,200,16,2,20
rFMjHCMidtnd,toys,4300,16,16,16
bLgMh5upyRTx,toys,550,16,4,11
qKkYTZBmMZjr,toys,300,16,10,20
3IT9EPQDOwI2,toys,600,16,10,13
hMDWeMkiEOcN,toys,638,16,18,18
5wH30U8SMY9p,toys,100,16,10,12
YdoqMDRN4Vsr,health_beauty,355,16,15,14
DRPag7bzI23U,toys,100,16,15,16
vLoe86hyxjgM,health_beauty,1300,16,11,11
pcEVJGYhnclW,health_beauty,550,16,9,11
kkUjALfMfQ9f,toys,300,16,20,16
AD3DlQJaBUm6,toys,550,16,16,20
fS1ypIsQSVpI,toys,650,16,7,13
Q7X2bb1UdiU4,toys,250,16,2,11
xo4FCeyJTBQx,toys,100,16,7,17
mifpmWSXzyb5,toys,100,16,2,11
n2HTiuIAl6Uj,toys,100,16,3,11
MT60d9oI6gH2,toys,1400,16,23,25
wGaRb3GCUksX,construction_tools_lights,1050,16,19,16
SjaiXyK805X3,toys,150,16,14,11
14dVyDiUlK7G,toys,417,16,15,14
EtpEPddVod15,toys,250,16,2,20
7YXA5C6uvFAa,toys,510,16,15,17
Hy5rx1QNK9Lc,toys,300,16,10,11
7RvJwjtQ0w5r,toys,300,16,25,15
nOQxPW9oOOze,housewares,190,16,16,16
1MxuZanUm0Lh,toys,250,16,2,20
NQ1uE53ACGAW,toys,300,16,10,16
pzaXcZevd27s,toys,145,16,9,13
U3LodkWEuHgZ,toys,300,16,10,11
hHSzvH8N25k7,perfumery,500,16,2,11
9VEGsedvmxbH,toys,50,16,18,14
